,hiduke,jikoku_code,power
17352,2019-01-06,25,19713.377933037456
17353,2019-01-06,26,19713.377933037456
17354,2019-01-06,27,19723.182849558743
17355,2019-01-06,28,19723.182849558743
17356,2019-01-06,29,19185.039396857872
17357,2019-01-06,30,19185.039396857872
17358,2019-01-06,31,19346.03451578792
17359,2019-01-06,32,19346.03451578792
17360,2019-01-06,33,19543.004316766834
17361,2019-01-06,34,19600.863416257645
17362,2019-01-06,35,20097.06979356247
17363,2019-01-06,36,20097.06979356247
17364,2019-01-06,37,20350.57550560386
17365,2019-01-06,38,20350.57550560386
17366,2019-01-06,39,20340.012038812078
17367,2019-01-06,40,20325.841543045222
17368,2019-01-06,41,20089.95157420201
17369,2019-01-06,42,20018.83913293461
17370,2019-01-06,43,19486.709301062914
17371,2019-01-06,44,19486.709301062914
17372,2019-01-06,45,18858.913712260186
17373,2019-01-06,46,18775.960388077416
17374,2019-01-06,47,17645.420432204315
17375,2019-01-06,48,17645.420432204315
17376,2019-01-07,1,16152.338342265673
17377,2019-01-07,2,16152.338342265673
17378,2019-01-07,3,14989.474264468216
17379,2019-01-07,4,14989.474264468216
17380,2019-01-07,5,14719.80319556884
17381,2019-01-07,6,14719.80319556884
17382,2019-01-07,7,15121.748771002343
17383,2019-01-07,8,15121.748771002343
17384,2019-01-07,9,15121.748771002343
17385,2019-01-07,10,15121.748771002343
17386,2019-01-07,11,15792.8383197631
17387,2019-01-07,12,15792.8383197631
17388,2019-01-07,13,17893.284863139932
17389,2019-01-07,14,17893.284863139932
17390,2019-01-07,15,19479.719045640875
17391,2019-01-07,16,19479.719045640875
17392,2019-01-07,17,19518.222329781926
17393,2019-01-07,18,19518.222329781926
17394,2019-01-07,19,19410.831131199793
17395,2019-01-07,20,19608.768661423703
17396,2019-01-07,21,18497.21943699517
17397,2019-01-07,22,18497.21943699517
17398,2019-01-07,23,18247.024039747932
17399,2019-01-07,24,18247.024039747932
17400,2019-01-07,25,17028.742935054426
17401,2019-01-07,26,17028.742935054426
17402,2019-01-07,27,17344.818151771015
17403,2019-01-07,28,17344.818151771015
17404,2019-01-07,29,17091.350075409122
17405,2019-01-07,30,17091.350075409122
17406,2019-01-07,31,17344.818151771015
17407,2019-01-07,32,17372.150977027937
17408,2019-01-07,33,18567.861669397767
17409,2019-01-07,34,18680.325612625704
17410,2019-01-07,35,19902.586674319107
17411,2019-01-07,36,19902.586674319107
17412,2019-01-07,37,20161.48150350516
17413,2019-01-07,38,20161.48150350516
17414,2019-01-07,39,20092.319865376878
17415,2019-01-07,40,19998.96580209353
17416,2019-01-07,41,19950.376983083097
17417,2019-01-07,42,19904.327602751913
17418,2019-01-07,43,19763.31687916179
17419,2019-01-07,44,19763.31687916179
17420,2019-01-07,45,18894.575677292618
17421,2019-01-07,46,18820.020667061144
17422,2019-01-07,47,17500.98120559919
17423,2019-01-07,48,17500.98120559919
17424,2019-01-08,1,15719.959863747876
17425,2019-01-08,2,15719.959863747876
17426,2019-01-08,3,14959.355985180617
17427,2019-01-08,4,14959.355985180617
17428,2019-01-08,5,14945.946864599948
17429,2019-01-08,6,14945.946864599948
17430,2019-01-08,7,15169.349638162885
17431,2019-01-08,8,15169.349638162885
17432,2019-01-08,9,14975.064469682311
17433,2019-01-08,10,14975.064469682311
17434,2019-01-08,11,15374.958561552428
17435,2019-01-08,12,15374.958561552428
17436,2019-01-08,13,18391.614748008382
17437,2019-01-08,14,18532.82868032932
17438,2019-01-08,15,19320.417985204633
17439,2019-01-08,16,19539.431151503006
17440,2019-01-08,17,20720.715295368853
17441,2019-01-08,18,20720.715295368853
17442,2019-01-08,19,21834.48202546331
17443,2019-01-08,20,21962.748163349417
17444,2019-01-08,21,20770.07620125488
17445,2019-01-08,22,20770.07620125488
17446,2019-01-08,23,19818.293452646474
17447,2019-01-08,24,19818.293452646474
17448,2019-01-08,25,18760.556930378323
17449,2019-01-08,26,18760.556930378323
17450,2019-01-08,27,18459.385028836026
17451,2019-01-08,28,18459.385028836026
